Name (First and Last),What is your email address?,Are you in Trinity or Pratt?,What year are you? For this pilot program; we invite sophomores; juniors and seniors to participate. Since Blue Devil Buddies serves as the mentorship program for first-years; freshmen are not eligible to participate at this time.,Which ethnic/racial identity(s) do you most identify with?,Identity,What is your intended major? Select up to three. (You can select multiple choices by holding down the CTRL or COMMAND key on your computer) (If you are doing Program II; select the option(s) that are most similar to what you are studying),Do you intend to complete any minors? Select up to three. (You can select multiple choices by holding down the CTRL or COMMAND key on your computer),Do you intend to complete any certificates? Select up to three. (You can select multiple choices by holding down the CTRL or COMMAND key on your computer),What graduate degrees do you hope to pursue; if any?,The following is a list of regions where there are larger concentrations of active; engaged Duke alumni. If you're interested to moving to any of these locations after graduation; select up to three. This can be useful for generating matches; but matches will not be made based on location alone. (Select up to three).,What industries are you considering starting a career in/want to learn more about? Select up to three. If the industry you're looking for isn't listed; choose the most similar option.,In which areas are you looking for guidance or support? (Select up to three),What are your other interests? Select up to three.,Finally; which qualities are most important for you to have in common with your mentor? Use the sliders to rate from least important (0) to most important (10). Please give this some serious thought - while we cannot guarantee you will have the exact criteria; we will generate pairings based on the criteria you select. - Ethnicity / Race,Finally; which qualities are most important for you to have in common with your mentor? Use the sliders to rate from least important (0) to most important (10). Please give this some serious thought - while we cannot guarantee you will have the exact criteria; we will generate pairings based on the criteria you select. - Hobbies / Interests,Finally; which qualities are most important for you to have in common with your mentor? Use the sliders to rate from least important (0) to most important (10). Please give this some serious thought - while we cannot guarantee you will have the exact criteria; we will generate pairings based on the criteria you select. - Major / Academic Interest,Finally; which qualities are most important for you to have in common with your mentor? Use the sliders to rate from least important (0) to most important (10). Please give this some serious thought - while we cannot guarantee you will have the exact criteria; we will generate pairings based on the criteria you select. - Graduate Degree Interest,Finally; which qualities are most important for you to have in common with your mentor? Use the sliders to rate from least important (0) to most important (10). Please give this some serious thought - while we cannot guarantee you will have the exact criteria; we will generate pairings based on the criteria you select. - Industry,Finally; which qualities are most important for you to have in common with your mentor? Use the sliders to rate from least important (0) to most important (10). Please give this some serious thought - while we cannot guarantee you will have the exact criteria; we will generate pairings based on the criteria you select. - Location,Finally; which qualities are most important for you to have in common with your mentor? Use the sliders to rate from least important (0) to most important (10). Please give this some serious thought - while we cannot guarantee you will have the exact criteria; we will generate pairings based on the criteria you select. - First Generation,Finally; which qualities are most important for you to have in common with your mentor? Use the sliders to rate from least important (0) to most important (10). Please give this some serious thought - while we cannot guarantee you will have the exact criteria; we will generate pairings based on the criteria you select. - Areas for guidance / support,NumStudent
Pede; odio,testemail@qemailserver.com,Trinity,Sophomore,Asian or Pacific islander;Black or African-American;Hispanic or Latinx;Middle Eastern;Native American or American Indian;White;Other;Prefer not to answer,None,Religious Studies,English;Political Science,Ethics and Society;Philosophy Politics and Economics;Robotics and Automation,None / Not listed;MBA (Masters of Business Administration);MS (Master of Science);Psy.D (Doctor of Psychology);MeD (Master of Education);MEM (Master of Engineering Management);MSN (Master of Science in Nursing);MEM (Master of Environmental Management);MSW (Master of Social Work);MHA (Master of Healthcare Administration);MPA (Master of Public Administration);MPH (Master of Public Health);MM (Master in Management);DVM (Doctor of Veterinary Medicine),China,Education;Agricultural and Food Science,Career exploration and decision-making;Skill development in a specific field;Networking and professional connections,Family Time;Movies/TV,0,4,6,6,4,1,4,8,0
Montes veh,testemail@qemailserver.com,Pratt,Sophomore,Asian or Pacific islander;White,None,Spanish Latin American and Latinx Studies;Statistical Science,Computational Biology and Bioinformatics;German;Sociology,Child Policy Research;Sustainability Engagement,None / Not listed;MBA (Masters of Business Administration);JD (Juris Doctorate/Law);PhD (Doctor of Philosophy);MA (Master of Arts);MS (Master of Science);MeD (Master of Education);MEM (Master of Engineering Management);MEM (Master of Environmental Management);MPP (Masters of Public Policy);MSW (Master of Social Work);MHA (Master of Healthcare Administration);MPH (Master of Public Health);MM (Master in Management);MEng (Master of Engineering);DVM (Doctor of Veterinary Medicine),UK,Finance / Investment / Banking;Energy and Utilities;Politics / Government and public sector,Emotional support,Volunteering,5,8,4,1,2,6,0,2,0
Nullam. Do,testemail@qemailserver.com,Trinity,Junior,Asian or Pacific islander;Hispanic or Latinx;Middle Eastern;Native American or American Indian;White;Other,None,Environmental Engineering,Cinematic Arts;Computational Biology and Bioinformatics;Energy Engineering,Digital Intelligence,None / Not listed;MBA (Masters of Business Administration);MEM (Master of Engineering Management);MSN (Master of Science in Nursing);MEM (Master of Environmental Management);MPP (Masters of Public Policy);MSW (Master of Social Work);MHA (Master of Healthcare Administration);MPA (Master of Public Administration);DVM (Doctor of Veterinary Medicine),Raleigh/Durham/Chapel Hill;Atlanta GA,Healthcare,Work-life balance and time management,Fashion;Gardening,5,3,10,9,9,1,5,9,0
Amet conse,testemail@qemailserver.com,Trinity,Sophomore,Asian or Pacific islander;Native American or American Indian;White;Other;Prefer not to answer,None,Biophysics;Electrical and Computer Engineering;Environmental Sciences,Evolutionary Anthropology;Photography;Political Science,Global Development Engineering;Information Science and Information Studies,None / Not listed;MD (Doctor of Medicine);MBA (Masters of Business Administration);JD (Juris Doctorate/Law);PhD (Doctor of Philosophy);MA (Master of Arts);MS (Master of Science);Psy.D (Doctor of Psychology);MeD (Master of Education);MEM (Master of Engineering Management);MSN (Master of Science in Nursing);MEM (Master of Environmental Management);MPP (Masters of Public Policy);MSW (Master of Social Work);MHA (Master of Healthcare Administration);MPA (Master of Public Administration);MM (Master in Management);MEng (Master of Engineering);DVM (Doctor of Veterinary Medicine),China,Education;Real estate,Career exploration and decision-making;Work-life balance and time management,Volunteering,9,3,2,4,2,9,4,1,0
Rutrum ege,testemail@qemailserver.com,Pratt,Senior,Asian or Pacific islander;Hispanic or Latinx;White;Other,None,Environmental Sciences,Theater Studies,None,None / Not listed;JD (Juris Doctorate/Law);MS (Master of Science);Psy.D (Doctor of Psychology);MEM (Master of Engineering Management);MPP (Masters of Public Policy);MSW (Master of Social Work);MHA (Master of Healthcare Administration);MPA (Master of Public Administration),Boston MA,Education;Agricultural and Food Science,Career exploration and decision-making;Personal growth and self-improvement,Athletics/Playing Sports,2,8,9,4,7,5,1,3,0
Accumsan a,testemail@qemailserver.com,Trinity,Junior,Black or African-American;Native American or American Indian;Prefer not to answer,None,Biology;Psychology,Inequality Studies;Physics,Global Development Engineering,None / Not listed;JD (Juris Doctorate/Law);PhD (Doctor of Philosophy);MA (Master of Arts);Psy.D (Doctor of Psychology);MeD (Master of Education);MEM (Master of Environmental Management);MSW (Master of Social Work);MHA (Master of Healthcare Administration);MPH (Master of Public Health);MM (Master in Management);DVM (Doctor of Veterinary Medicine),Southern California;Denver CO;Miami/Central Florida/Tampa Bay,Marketing / Advertising,Skill development in a specific field;Networking and professional connections,Gardening;Music/Dance,8,5,1,7,6,5,8,6,0
Nec eros i,testemail@qemailserver.com,Trinity,Junior,Asian or Pacific islander;Black or African-American;Hispanic or Latinx;Middle Eastern;Native American or American Indian;White;Other;Prefer not to answer,None,Classical Languages;Slavic and Eurasian Studies,Environmental Sciences and Policy,Latin American Studies,MeD (Master of Education),Baltimore MD;EU;India,Manufacturing and engineering,Career exploration and decision-making;Academic success and study skills;Work-life balance and time management,Time with Friends;Fishing/Hunting,9,7,7,8,1,5,8,9,0
Per. Ipsum,testemail@qemailserver.com,Trinity,Junior,Asian or Pacific islander;Black or African-American;Hispanic or Latinx;Middle Eastern;Native American or American Indian;Other;Prefer not to answer,None,Biomedical Engineering;Economics;Mathematics,Electrical and Computer Engineering,Decision Sciences;Energy and the Environment;Global Development Engineering,None / Not listed;MBA (Masters of Business Administration);MFA (Master of Fine Arts);Psy.D (Doctor of Psychology);MEM (Master of Environmental Management);MPP (Masters of Public Policy);MPA (Master of Public Administration);MPH (Master of Public Health);DVM (Doctor of Veterinary Medicine),New York City/Tri-State area;Denver CO,Finance / Investment / Banking;Aerospace and Defense;Accounting,Personal growth and self-improvement,Visual Arts/Crafts,8,5,1,9,4,5,8,6,0
Dolorem el,testemail@qemailserver.com,Trinity,Sophomore,Black or African-American;Hispanic or Latinx;Middle Eastern;Native American or American Indian;White;Other;Prefer not to answer,None,Statistical Science,Cultural Anthropology,Human Rights,None / Not listed;MBA (Masters of Business Administration);JD (Juris Doctorate/Law);PhD (Doctor of Philosophy);MFA (Master of Fine Arts);MS (Master of Science);MEM (Master of Engineering Management);MSN (Master of Science in Nursing);MHA (Master of Healthcare Administration);MPA (Master of Public Administration);MPH (Master of Public Health);MEng (Master of Engineering),Northern California;Atlanta GA;UK,Food and beverage;Physical Therapy,Skill development in a specific field;Networking and professional connections;Work-life balance and time management,Reading;Traveling,8,6,2,10,8,7,6,5,0
Volutpat n,testemail@qemailserver.com,Pratt,Sophomore,Asian or Pacific islander;Middle Eastern,None,Art History;International Comparative Studies,Machine Learning and Artificial Intelligence,Digital Intelligence;Philosophy Politics and Economics,None / Not listed;MD (Doctor of Medicine);MBA (Masters of Business Administration);JD (Juris Doctorate/Law);PhD (Doctor of Philosophy);MA (Master of Arts);MS (Master of Science);Psy.D (Doctor of Psychology);MeD (Master of Education);MEM (Master of Engineering Management);MSN (Master of Science in Nursing);MEM (Master of Environmental Management);MSW (Master of Social Work);MPA (Master of Public Administration);MPH (Master of Public Health);MM (Master in Management);MEng (Master of Engineering),EU,Transportation and logistics,Skill development in a specific field,Visual Arts/Crafts;Watching Sports,8,4,8,5,6,9,8,7,0
Eget eleme,testemail@qemailserver.com,Pratt,Sophomore,Black or African-American;Hispanic or Latinx;Middle Eastern;Native American or American Indian;Other;Prefer not to answer,None,Chemistry,Greek,Energy and the Environment,PhD (Doctor of Philosophy);MEM (Master of Environmental Management);MPP (Masters of Public Policy);MPA (Master of Public Administration),Washington DC;UK,Media Entertainment and Sports,Career exploration and decision-making;Skill development in a specific field,Fishing/Hunting,7,7,7,10,4,2,1,9,0
Ante accus,testemail@qemailserver.com,Trinity,Junior,Asian or Pacific islander;Black or African-American;Native American or American Indian;White;Other;Prefer not to answer,None,Slavic and Eurasian Studies,History,Decision Sciences;Robotics and Automation;Sustainability Engagement,MSW (Master of Social Work);MM (Master in Management);MEng (Master of Engineering),Raleigh/Durham/Chapel Hill;Charlotte NC;India,Biotechnology;Architecture and Design;Religion,Emotional support,Reading;Watching Sports;Movies/TV,2,6,4,8,8,3,10,7,0
Elementum ,testemail@qemailserver.com,Trinity,Junior,Black or African-American;Hispanic or Latinx;Native American or American Indian,None,Biomedical Engineering;English;Physics,Biology;Energy Engineering,Latinx Studies in the Global South,None / Not listed;MD (Doctor of Medicine);MBA (Masters of Business Administration);JD (Juris Doctorate/Law);PhD (Doctor of Philosophy);MFA (Master of Fine Arts);MA (Master of Arts);MS (Master of Science);Psy.D (Doctor of Psychology);MeD (Master of Education);MEM (Master of Engineering Management);MSN (Master of Science in Nursing);MEM (Master of Environmental Management);MPP (Masters of Public Policy);MSW (Master of Social Work);MHA (Master of Healthcare Administration);MPA (Master of Public Administration);MPH (Master of Public Health);MM (Master in Management);MEng (Master of Engineering);DVM (Doctor of Veterinary Medicine),Boston MA,Education;Research and Development;Veterinary Medicine,Work-life balance and time management,Visual Arts/Crafts;Fishing/Hunting,5,8,9,4,8,10,5,3,0
Iaculis! R,testemail@qemailserver.com,Trinity,Senior,Hispanic or Latinx;Middle Eastern;Other,None,Spanish Latin American and Latinx Studies,Electrical and Computer Engineering;Global Health;Visual and Media Studies,Child Policy Research;Latinx Studies in the Global South;Markets and Management,None / Not listed;MBA (Masters of Business Administration);JD (Juris Doctorate/Law);PhD (Doctor of Philosophy);MFA (Master of Fine Arts);Psy.D (Doctor of Psychology);MeD (Master of Education);MEM (Master of Engineering Management);MSN (Master of Science in Nursing);MEM (Master of Environmental Management);MPP (Masters of Public Policy);MHA (Master of Healthcare Administration);MPA (Master of Public Administration);MM (Master in Management);DVM (Doctor of Veterinary Medicine),Philadelphia and mid/southern NJ,Consulting and professional services,Career exploration and decision-making;Networking and professional connections;Emotional support,Cooking/Baking;Reading;Fishing/Hunting,6,10,10,2,1,3,0,4,0
Lacus. Dol,testemail@qemailserver.com,Trinity,Senior,Asian or Pacific islander;Hispanic or Latinx;Middle Eastern;Native American or American Indian;White;Other;Prefer not to answer,None,Chemistry;Political Science,Education,Philosophy Politics and Economics,MeD (Master of Education);MPP (Masters of Public Policy),Washington DC;China;India,Venture Capital;Academia / Higher Ed,Skill development in a specific field;Academic success and study skills;Work-life balance and time management,Gaming,8,4,5,1,10,1,3,8,0
Neque scel,testemail@qemailserver.com,Pratt,Junior,Native American or American Indian;Other,None,Environmental Engineering,German;Russian and East European Literatures in Translation;Statistical Science,Energy and the Environment,MD (Doctor of Medicine);JD (Juris Doctorate/Law);MS (Master of Science);Psy.D (Doctor of Psychology);MeD (Master of Education);MEM (Master of Engineering Management);MSN (Master of Science in Nursing);MEM (Master of Environmental Management);MM (Master in Management);MEng (Master of Engineering);DVM (Doctor of Veterinary Medicine),Washington DC;Chicago IL,Veterinary Medicine;Academia / Higher Ed,Career exploration and decision-making,Gardening;Fishing/Hunting,8,3,0,7,4,8,1,10,0
Facilisis;,testemail@qemailserver.com,Pratt,Sophomore,Asian or Pacific islander;Hispanic or Latinx;Middle Eastern;Other;Prefer not to answer,None,Classical Languages;Global Cultural Studies;Linguistics and Computer Science,Gender Sexuality and Feminist Studies;Italian Studies,Jewish Studies;Materials Science and Engineering,None / Not listed;MBA (Masters of Business Administration);PhD (Doctor of Philosophy);MFA (Master of Fine Arts);MA (Master of Arts);MS (Master of Science);Psy.D (Doctor of Psychology);MeD (Master of Education);MEM (Master of Engineering Management);MSN (Master of Science in Nursing);MEM (Master of Environmental Management);MPP (Masters of Public Policy);MSW (Master of Social Work);MHA (Master of Healthcare Administration);MPA (Master of Public Administration);MPH (Master of Public Health);MM (Master in Management);MEng (Master of Engineering),EU;India,Accounting,Career exploration and decision-making;Skill development in a specific field;Academic success and study skills,Volunteering,3,6,5,8,5,7,1,8,0
Pharetra n,testemail@qemailserver.com,Trinity,Junior,Hispanic or Latinx,None,Civil Engineering;Spanish Latin American and Latinx Studies;Theater Studies,Global Cultural Studies,Documentary Studies;Latinx Studies in the Global South,MD (Doctor of Medicine);JD (Juris Doctorate/Law);PhD (Doctor of Philosophy);MFA (Master of Fine Arts);Psy.D (Doctor of Psychology);MeD (Master of Education);MSN (Master of Science in Nursing);MSW (Master of Social Work);MHA (Master of Healthcare Administration);MPA (Master of Public Administration);MEng (Master of Engineering),Charlotte NC,Energy and Utilities;Pharmaceutical,Academic success and study skills,Pets;Movies/TV;Performing Arts,5,4,2,2,3,4,0,5,0
Convallis ,testemail@qemailserver.com,Pratt,Senior,Asian or Pacific islander;Hispanic or Latinx;White;Other;Prefer not to answer,None,Civil Engineering;Earth and Climate Sciences;Visual Arts,Cinematic Arts;Gender Sexuality and Feminist Studies;History,Human Rights;Latin American Studies;Latinx Studies in the Global South,MBA (Masters of Business Administration);PhD (Doctor of Philosophy);MA (Master of Arts);MEM (Master of Environmental Management);MSW (Master of Social Work);MHA (Master of Healthcare Administration);MPA (Master of Public Administration);DVM (Doctor of Veterinary Medicine),Washington DC;China,Construction;Fashion and Apparel,Networking and professional connections;Academic success and study skills;Work-life balance and time management,Movies/TV,8,5,9,6,8,2,1,4,0
Imperdiet ,testemail@qemailserver.com,Pratt,Junior,Black or African-American;Hispanic or Latinx;Middle Eastern;Native American or American Indian;White,None,Mathematics;Physics,Computer Science;Latin,Global Development Engineering,None / Not listed;MD (Doctor of Medicine);MBA (Masters of Business Administration);MA (Master of Arts);MEM (Master of Engineering Management);MSN (Master of Science in Nursing);MEM (Master of Environmental Management);MPP (Masters of Public Policy);MEng (Master of Engineering),Raleigh/Durham/Chapel Hill;Baltimore MD;China,STEM,Career exploration and decision-making;Skill development in a specific field;Work-life balance and time management,Reading;Traveling,4,2,5,10,9,6,9,8,0
Etiam lect,testemail@qemailserver.com,Trinity,Senior,Asian or Pacific islander;Black or African-American;Hispanic or Latinx;Middle Eastern;Native American or American Indian;White;Other;Prefer not to answer,None,Global Cultural Studies;Sociology,None;Mathematics,Digital Intelligence;Documentary Studies,PhD (Doctor of Philosophy);MA (Master of Arts);MSW (Master of Social Work),Houston/Dallas/Austin;Richmond VA;China,Venture Capital,Skill development in a specific field;Academic success and study skills,Fashion;Watching Sports,9,7,6,1,3,7,0,9,0
Maecenas i,testemail@qemailserver.com,Trinity,Junior,Black or African-American;Hispanic or Latinx;Middle Eastern;Native American or American Indian;White,None,German,Energy Engineering;French Studies;Musical Theater,Documentary Studies;Jewish Studies,JD (Juris Doctorate/Law);MS (Master of Science);MEM (Master of Engineering Management);MHA (Master of Healthcare Administration),Northern California;EU;China,Nursing;Real estate,Skill development in a specific field,Outdoor Activities/Hiking/Camping;Time with Friends,0,5,0,7,7,10,2,7,0
Sed dignis,testemail@qemailserver.com,Pratt,Junior,Asian or Pacific islander;Prefer not to answer,None,Environmental Sciences;Interdisciplinary Engineering and Applied Science (IDEAS),Art History;Cinematic Arts;Visual and Media Studies,Energy and the Environment;Ethics and Society,Psy.D (Doctor of Psychology);MEM (Master of Engineering Management);MHA (Master of Healthcare Administration),Houston/Dallas/Austin,Healthcare;Education;Non-Profit and Social Services,Skill development in a specific field;Networking and professional connections;Work-life balance and time management,Family Time,10,10,8,0,2,6,0,2,0
Ligula por,testemail@qemailserver.com,Trinity,Sophomore,Black or African-American;White;Other,None,Biomedical Engineering;Gender Sexuality and Feminist Studies,Dance,Aerospace Engineering;Jewish Studies;Sustainability Engagement,MFA (Master of Fine Arts);MA (Master of Arts);MS (Master of Science);Psy.D (Doctor of Psychology);MeD (Master of Education);MEM (Master of Engineering Management);DVM (Doctor of Veterinary Medicine),Houston/Dallas/Austin;Denver CO;UK,Education,Skill development in a specific field;Networking and professional connections;Emotional support,Fashion;Pets,2,7,8,6,9,4,6,2,0
Imperdiet ,testemail@qemailserver.com,Trinity,Sophomore,Asian or Pacific islander;Hispanic or Latinx;Middle Eastern;Other,None,Linguistics;Slavic and Eurasian Studies;Visual and Media Studies,Classical Civilization;Evolutionary Anthropology,None,None / Not listed;MBA (Masters of Business Administration);JD (Juris Doctorate/Law);PhD (Doctor of Philosophy);MA (Master of Arts);MS (Master of Science);MeD (Master of Education);MEM (Master of Engineering Management);MSN (Master of Science in Nursing);MPP (Masters of Public Policy);MSW (Master of Social Work);MPA (Master of Public Administration);MM (Master in Management);MEng (Master of Engineering);DVM (Doctor of Veterinary Medicine),China,Technology / Software / IT,Skill development in a specific field;Networking and professional connections,Family Time;Pets;Watching Sports,0,7,5,8,1,7,2,2,0
Sollicitud,testemail@qemailserver.com,Trinity,Sophomore,Black or African-American;White;Other;Prefer not to answer,None,Biophysics;Marine Science and Conservation,Asian and Middle Eastern Studies;Greek;Spanish Studies,Health Policy;Islamic Studies,MBA (Masters of Business Administration);JD (Juris Doctorate/Law);PhD (Doctor of Philosophy);MFA (Master of Fine Arts);MS (Master of Science);Psy.D (Doctor of Psychology);MeD (Master of Education);MEM (Master of Engineering Management);MSN (Master of Science in Nursing);MEM (Master of Environmental Management);MPP (Masters of Public Policy);MHA (Master of Healthcare Administration);MPA (Master of Public Administration);MPH (Master of Public Health);MM (Master in Management);MEng (Master of Engineering);DVM (Doctor of Veterinary Medicine),Chicago IL,Manufacturing and engineering;Construction,Career exploration and decision-making;Skill development in a specific field,Athletics/Playing Sports;Watching Sports,6,2,9,10,2,2,8,6,0
Ultricies;,testemail@qemailserver.com,Trinity,Sophomore,Black or African-American;Hispanic or Latinx;Middle Eastern;Native American or American Indian;White;Other;Prefer not to answer,None,Environmental Sciences;German;Interdisciplinary Engineering and Applied Science (IDEAS),Polish Culture and Language,Decision Sciences;Human Rights;Policy Journalism and Media Studies,None / Not listed;PhD (Doctor of Philosophy);MFA (Master of Fine Arts);MA (Master of Arts);MS (Master of Science);Psy.D (Doctor of Psychology);MEM (Master of Engineering Management);MSN (Master of Science in Nursing);MEM (Master of Environmental Management);MPP (Masters of Public Policy);MHA (Master of Healthcare Administration);MPA (Master of Public Administration),Raleigh/Durham/Chapel Hill;Southern California,Technology / Software / IT;Healthcare;Manufacturing and engineering,Networking and professional connections;Work-life balance and time management,Volunteering,7,8,4,9,8,8,10,1,0
Imperdiet ,testemail@qemailserver.com,Trinity,Senior,Asian or Pacific islander;Black or African-American;Hispanic or Latinx;Middle Eastern;Native American or American Indian;White;Other;Prefer not to answer,None,Psychology;Romance Studies,Inequality Studies,Jewish Studies;Policy Journalism and Media Studies,None / Not listed;MD (Doctor of Medicine);MBA (Masters of Business Administration);JD (Juris Doctorate/Law);PhD (Doctor of Philosophy);MFA (Master of Fine Arts);MA (Master of Arts);MS (Master of Science);Psy.D (Doctor of Psychology);MeD (Master of Education);MEM (Master of Engineering Management);MSN (Master of Science in Nursing);MEM (Master of Environmental Management);MPP (Masters of Public Policy);MSW (Master of Social Work);MHA (Master of Healthcare Administration);MPA (Master of Public Administration);MPH (Master of Public Health);MM (Master in Management);MEng (Master of Engineering);DVM (Doctor of Veterinary Medicine),Houston/Dallas/Austin,Consulting and professional services;Veterinary Medicine,Networking and professional connections;Academic success and study skills;Work-life balance and time management,Gardening;Volunteering,0,2,5,9,6,9,7,10,0
Dictumst c,testemail@qemailserver.com,Trinity,Sophomore,Black or African-American;Hispanic or Latinx;Native American or American Indian;Other,None,Public Policy Studies,Economics,Architectural Engineering;Markets and Management,None / Not listed;MD (Doctor of Medicine);MBA (Masters of Business Administration);JD (Juris Doctorate/Law);PhD (Doctor of Philosophy);MFA (Master of Fine Arts);MA (Master of Arts);MS (Master of Science);Psy.D (Doctor of Psychology);MeD (Master of Education);MEM (Master of Engineering Management);MSN (Master of Science in Nursing);MEM (Master of Environmental Management);MPP (Masters of Public Policy);MHA (Master of Healthcare Administration);MPA (Master of Public Administration);MPH (Master of Public Health);MM (Master in Management);MEng (Master of Engineering);DVM (Doctor of Veterinary Medicine),Houston/Dallas/Austin;Miami/Central Florida/Tampa Bay;Baltimore MD,Pharmaceutical,Work-life balance and time management,Fashion;Athletics/Playing Sports;Visual Arts/Crafts,6,9,8,1,4,5,10,7,0
Facilisis ,testemail@qemailserver.com,Pratt,Junior,Native American or American Indian,None,History;Undecided,Cultural Anthropology;Neuroscience,Architectural Engineering,None / Not listed;MD (Doctor of Medicine);PhD (Doctor of Philosophy);MA (Master of Arts);MS (Master of Science);Psy.D (Doctor of Psychology);MeD (Master of Education);MEM (Master of Environmental Management);MPP (Masters of Public Policy);MSW (Master of Social Work);MPA (Master of Public Administration);DVM (Doctor of Veterinary Medicine),Raleigh/Durham/Chapel Hill;Boston MA;Philadelphia and mid/southern NJ,Finance / Investment / Banking;Medical;International Relations,Career exploration and decision-making;Skill development in a specific field,Cooking/Baking;Family Time;Pets,7,1,1,8,7,1,4,0,0
Dapibus? P,testemail@qemailserver.com,Pratt,Junior,Asian or Pacific islander;Middle Eastern;White,None,Religious Studies;Undecided,German,East Asian Studies,None / Not listed;Psy.D (Doctor of Psychology);MeD (Master of Education);MSW (Master of Social Work);MHA (Master of Healthcare Administration),Richmond VA,Nursing;Venture Capital,Career exploration and decision-making;Emotional support,Reading;Traveling;Movies/TV,6,3,6,2,6,9,8,8,0
Sit vel am,testemail@qemailserver.com,Pratt,Sophomore,Middle Eastern;Native American or American Indian,None,Computational Media;Interdisciplinary Engineering and Applied Science (IDEAS),Marine Science and Conservation,Latin American Studies,MD (Doctor of Medicine);MBA (Masters of Business Administration);JD (Juris Doctorate/Law);PhD (Doctor of Philosophy);MFA (Master of Fine Arts);MA (Master of Arts);MS (Master of Science);Psy.D (Doctor of Psychology);MSN (Master of Science in Nursing);MEM (Master of Environmental Management);MSW (Master of Social Work);MPA (Master of Public Administration);MM (Master in Management);MEng (Master of Engineering);DVM (Doctor of Veterinary Medicine),Boston MA;Philadelphia and mid/southern NJ,Artificial Intelligence / Machine Learning / Data Science;Academia / Higher Ed,Skill development in a specific field;Personal growth and self-improvement,Family Time;Fitness;Visual Arts/Crafts,4,8,2,6,9,6,10,5,0
Euismod li,testemail@qemailserver.com,Pratt,Junior,Asian or Pacific islander;Middle Eastern;White;Other,None,Computer Science;Dance;Theater Studies,Energy Engineering;Marine Science and Conservation;Medical Sociology,Science and the Public,MS (Master of Science);Psy.D (Doctor of Psychology);MeD (Master of Education);MSN (Master of Science in Nursing);MPP (Masters of Public Policy);MPA (Master of Public Administration);MPH (Master of Public Health);DVM (Doctor of Veterinary Medicine),I don't know/Skip this question;Raleigh/Durham/Chapel Hill,Technology / Software / IT,Career exploration and decision-making;Emotional support,Gaming;Visual Arts/Crafts,9,0,2,4,9,8,8,8,0
Culpa aliq,testemail@qemailserver.com,Trinity,Senior,Asian or Pacific islander;Black or African-American;Hispanic or Latinx;Middle Eastern;White;Other;Prefer not to answer,None,Ancient Religion and Society;Environmental Sciences and Policy;Mechanical Engineering,Computational Media,None;Architectural Engineering;Materials Science and Engineering,None / Not listed;MBA (Masters of Business Administration);JD (Juris Doctorate/Law);PhD (Doctor of Philosophy);MFA (Master of Fine Arts);MA (Master of Arts);MS (Master of Science);Psy.D (Doctor of Psychology);MeD (Master of Education);MEM (Master of Engineering Management);MSN (Master of Science in Nursing);MEM (Master of Environmental Management);MM (Master in Management);MEng (Master of Engineering);DVM (Doctor of Veterinary Medicine),New York City/Tri-State area;Philadelphia and mid/southern NJ;Baltimore MD,Hospitality and Tourism,Networking and professional connections;Emotional support,Gaming,9,6,8,0,9,6,2,2,0
Nullam rho,testemail@qemailserver.com,Trinity,Junior,Black or African-American;Native American or American Indian,None,Computational Media;Philosophy,Computational Media;Music,Child Policy Research;Jewish Studies;Policy Journalism and Media Studies,None / Not listed;MBA (Masters of Business Administration);PhD (Doctor of Philosophy);MFA (Master of Fine Arts);MS (Master of Science);MEM (Master of Engineering Management);MSN (Master of Science in Nursing);MPP (Masters of Public Policy);MSW (Master of Social Work);MHA (Master of Healthcare Administration);MPA (Master of Public Administration);MPH (Master of Public Health);MM (Master in Management);MEng (Master of Engineering);DVM (Doctor of Veterinary Medicine),New York City/Tri-State area;India,Aerospace and Defense;International Relations,Skill development in a specific field;Academic success and study skills,Traveling;Watching Sports,9,2,8,5,9,7,6,2,0
Etiam. Auc,testemail@qemailserver.com,Trinity,Junior,Hispanic or Latinx;White;Other,None,Economics;Evolutionary Anthropology,Cultural Anthropology;Dance;Russian Culture and Language,Aerospace Engineering;Information Science and Information Studies;Policy Journalism and Media Studies,MA (Master of Arts);MS (Master of Science);MSN (Master of Science in Nursing);MSW (Master of Social Work);MHA (Master of Healthcare Administration);MM (Master in Management);MEng (Master of Engineering);DVM (Doctor of Veterinary Medicine),Raleigh/Durham/Chapel Hill;EU,Agricultural and Food Science;Product / Product Management / UX Design,Skill development in a specific field,Watching Sports,6,1,4,8,3,2,6,2,0
Mauris ero,testemail@qemailserver.com,Pratt,Junior,Middle Eastern;Prefer not to answer,None,Romance Studies,Sociology,Science and the Public,None / Not listed;MD (Doctor of Medicine);MBA (Masters of Business Administration);JD (Juris Doctorate/Law);PhD (Doctor of Philosophy);MFA (Master of Fine Arts);MA (Master of Arts);MS (Master of Science);MeD (Master of Education);MEM (Master of Engineering Management);MSN (Master of Science in Nursing);MSW (Master of Social Work);MPA (Master of Public Administration);MPH (Master of Public Health);MM (Master in Management);MEng (Master of Engineering);DVM (Doctor of Veterinary Medicine),Houston/Dallas/Austin;UK;EU,Non-Profit and Social Services;Accounting,Personal growth and self-improvement;Work-life balance and time management,Athletics/Playing Sports,0,5,7,0,8,8,9,2,0
