Count,Name (First and Last),NetID,What is your email address?,Are you in Trinity or Pratt?,What year are you? For this pilot program; we invite sophomores; juniors and seniors to participate. Since Blue Devil Buddies serves as the mentorship program for first-years; freshmen are not eligible to participate at this time.,Gender,Which ethnic/racial identity(s) do you most identify with?,Identity,What is your intended major? Select up to three. (You can select multiple choices by holding down the CTRL or COMMAND key on your computer) (If you are doing Program II; select the option(s) that are most similar to what you are studying),Do you intend to complete any minors? Select up to three. (You can select multiple choices by holding down the CTRL or COMMAND key on your computer),Do you intend to complete any certificates? Select up to three. (You can select multiple choices by holding down the CTRL or COMMAND key on your computer),What graduate degrees do you hope to pursue; if any?,The following is a list of regions where there are larger concentrations of active; engaged Duke alumni. If you're interested to moving to any of these locations after graduation; select up to three. This can be useful for generating matches; but matches will not be made based on location alone. (Select up to three).,What industries are you considering starting a career in/want to learn more about? Select up to three. If the industry you're looking for isn't listed; choose the most similar option.,In which areas are you looking for guidance or support? (Select up to three),What are your other interests? Select up to three.,Finally; which qualities are most important for you to have in common with your mentor? Use the sliders to rate from least important (0) to most important (10). Please give this some serious thought - while we cannot guarantee you will have the exact criteria; we will generate pairings based on the criteria you select. - Ethnicity / Race,Finally; which qualities are most important for you to have in common with your mentor? Use the sliders to rate from least important (0) to most important (10). Please give this some serious thought - while we cannot guarantee you will have the exact criteria; we will generate pairings based on the criteria you select. - Hobbies / Interests,Finally; which qualities are most important for you to have in common with your mentor? Use the sliders to rate from least important (0) to most important (10). Please give this some serious thought - while we cannot guarantee you will have the exact criteria; we will generate pairings based on the criteria you select. - Major / Academic Interest,Finally; which qualities are most important for you to have in common with your mentor? Use the sliders to rate from least important (0) to most important (10). Please give this some serious thought - while we cannot guarantee you will have the exact criteria; we will generate pairings based on the criteria you select. - Graduate Degree Interest,Finally; which qualities are most important for you to have in common with your mentor? Use the sliders to rate from least important (0) to most important (10). Please give this some serious thought - while we cannot guarantee you will have the exact criteria; we will generate pairings based on the criteria you select. - Industry,Finally; which qualities are most important for you to have in common with your mentor? Use the sliders to rate from least important (0) to most important (10). Please give this some serious thought - while we cannot guarantee you will have the exact criteria; we will generate pairings based on the criteria you select. - Location,Finally; which qualities are most important for you to have in common with your mentor? Use the sliders to rate from least important (0) to most important (10). Please give this some serious thought - while we cannot guarantee you will have the exact criteria; we will generate pairings based on the criteria you select. - First Generation,Finally; which qualities are most important for you to have in common with your mentor? Use the sliders to rate from least important (0) to most important (10). Please give this some serious thought - while we cannot guarantee you will have the exact criteria; we will generate pairings based on the criteria you select. - Areas for guidance / support,NumStudent
235,Vivamus im,235,testemail@qemailserver.com,Trinity,Junior,Male,Black or African-American,None,Biophysics,African and African American Studies;Computational Biology and Bioinformatics,Global Development Engineering;Science and the Public,None / Not listed;MD (Doctor of Medicine);MBA (Masters of Business Administration);JD (Juris Doctorate/Law);PhD (Doctor of Philosophy);MA (Master of Arts);MS (Master of Science);Psy.D (Doctor of Psychology);MeD (Master of Education);MEM (Master of Engineering Management);MSN (Master of Science in Nursing);MEM (Master of Environmental Management);MPP (Masters of Public Policy);MSW (Master of Social Work);MHA (Master of Healthcare Administration);MPA (Master of Public Administration);MPH (Master of Public Health);MM (Master in Management);MEng (Master of Engineering);DVM (Doctor of Veterinary Medicine),Southern California;EU,Hospitality and Tourism;Media Entertainment and Sports,Skill development in a specific field;Work-life balance and time management,Gaming,2,6,8,8,3,5,4,7,0
236,Lectus por,236,testemail@qemailserver.com,Trinity,Junior,Female,Asian or Pacific islander,None,Asian and Middle Eastern Studies;Environmental Engineering;Spanish Latin American and Latinx Studies,Energy Engineering;German;Marine Science and Conservation,Policy Journalism and Media Studies,MPH (Master of Public Health);MEng (Master of Engineering),UK,Marketing / Advertising;Pharmaceutical;Physical Therapy,Skill development in a specific field;Academic success and study skills;Personal growth and self-improvement,Pets;Athletics/Playing Sports;Movies/TV,9,3,4,7,3,10,10,6,0
237,Nibh velit,237,testemail@qemailserver.com,Pratt,Sophomore,Male,Asian or Pacific islander;Black or African-American;Hispanic or Latinx;Middle Eastern;Native American or American Indian;White;Other;Prefer not to answer,None,Brazilian and Global Portuguese Studies;Philosophy,Finance;Russian Culture and Language;Sexuality Studies,Policy Journalism and Media Studies,JD (Juris Doctorate/Law);PhD (Doctor of Philosophy);MSN (Master of Science in Nursing);MEM (Master of Environmental Management);MM (Master in Management),Northern California,Marketing / Advertising,Academic success and study skills,Traveling,8,5,8,4,4,2,2,0,0
238,Primis dui,238,testemail@qemailserver.com,Trinity,Senior,Female,Asian or Pacific islander;Hispanic or Latinx;Middle Eastern;Native American or American Indian;White;Other;Prefer not to answer,None,Computational Media,Cinematic Arts;Computer Science,Health Policy;Jewish Studies;Robotics and Automation,JD (Juris Doctorate/Law);PhD (Doctor of Philosophy);MA (Master of Arts);Psy.D (Doctor of Psychology);MSW (Master of Social Work),Richmond VA,Finance / Investment / Banking,Career exploration and decision-making;Skill development in a specific field;Networking and professional connections,Outdoor Activities/Hiking/Camping;Traveling,9,6,6,10,8,6,10,7,0
239,A. Id soda,239,testemail@qemailserver.com,Trinity,Senior,Male,Middle Eastern;Native American or American Indian;Other,None,Art History,Biology;Medieval and Renaissance Studies;Neuroscience,Architectural Engineering;Markets and Management,MD (Doctor of Medicine),India,Environmental Science,Academic success and study skills,Fitness;Traveling,7,9,4,0,0,5,9,8,0
240,Vulputate.,240,testemail@qemailserver.com,Trinity,Sophomore,Female,Asian or Pacific islander;Native American or American Indian;Other,None,Mathematics,Polish Culture and Language;Political Science;Theater Studies,Child Policy Research;Latin American Studies;Markets and Management,None / Not listed;MD (Doctor of Medicine);MM (Master in Management),China,Nursing;Agricultural and Food Science,Skill development in a specific field,Athletics/Playing Sports;Music/Dance,6,9,6,2,4,1,0,5,0
241,Morbi susp,241,testemail@qemailserver.com,Pratt,Senior,Male,Asian or Pacific islander;Black or African-American;Hispanic or Latinx;Native American or American Indian;White;Other;Prefer not to answer,None,Gender Sexuality and Feminist Studies,Linguistics;Marine Science and Conservation,Aerospace Engineering;Decision Sciences;Latinx Studies in the Global South,MBA (Masters of Business Administration);MFA (Master of Fine Arts);MHA (Master of Healthcare Administration),Charlotte NC,Product / Product Management / UX Design,Skill development in a specific field;Networking and professional connections;Work-life balance and time management,Fitness;Athletics/Playing Sports;Visual Arts/Crafts,2,8,6,3,3,7,1,0,0
242,At arcu. P,242,testemail@qemailserver.com,Trinity,Senior,Female,Black or African-American;Middle Eastern,None,Computer Science;Political Science;Visual and Media Studies,Education;Visual and Media Studies,Markets and Management;Science and the Public,MD (Doctor of Medicine);MFA (Master of Fine Arts);MHA (Master of Healthcare Administration);MM (Master in Management),Philadelphia and mid/southern NJ,Finance / Investment / Banking;Telecommunications,Skill development in a specific field;Work-life balance and time management;Emotional support,Fitness;Reading;Watching Sports,10,4,4,4,8,8,1,1,0
243,Molestie m,243,testemail@qemailserver.com,Trinity,Senior,Male,Black or African-American;Hispanic or Latinx,None,Chemistry;Computational Media;Marine Science and Conservation,French Studies;Polish Culture and Language,Energy and the Environment;Human Rights,None / Not listed;MD (Doctor of Medicine);MBA (Masters of Business Administration);JD (Juris Doctorate/Law);PhD (Doctor of Philosophy);MS (Master of Science);MeD (Master of Education);MEM (Master of Engineering Management);MSN (Master of Science in Nursing);MEM (Master of Environmental Management);MSW (Master of Social Work);MHA (Master of Healthcare Administration);MPA (Master of Public Administration);MPH (Master of Public Health);MEng (Master of Engineering),I don't know/Skip this question;UK,International Relations,Networking and professional connections;Academic success and study skills;Personal growth and self-improvement,Gardening;Pets;Music/Dance,7,8,5,4,4,8,9,7,0
244,Ultrices s,244,testemail@qemailserver.com,Pratt,Sophomore,Female,Asian or Pacific islander;Black or African-American;Hispanic or Latinx;Middle Eastern;Native American or American Indian;White;Other;Prefer not to answer,None,Environmental Engineering;Mathematics;Philosophy,None,East Asian Studies,PhD (Doctor of Philosophy);MEM (Master of Engineering Management);MPP (Masters of Public Policy);MSW (Master of Social Work),I don't know/Skip this question;Houston/Dallas/Austin;UK,Veterinary Medicine,Skill development in a specific field;Networking and professional connections;Emotional support,Outdoor Activities/Hiking/Camping;Music/Dance,10,4,9,4,9,10,2,5,0
245,Tempor non,245,testemail@qemailserver.com,Trinity,Junior,Male,Prefer not to answer,None,Asian and Middle Eastern Studies;Chemistry;Cultural Anthropology,Physics;Psychology,Ethics and Society,None / Not listed;MBA (Masters of Business Administration);JD (Juris Doctorate/Law);PhD (Doctor of Philosophy);MFA (Master of Fine Arts);MA (Master of Arts);MS (Master of Science);Psy.D (Doctor of Psychology);MeD (Master of Education);MEM (Master of Engineering Management);MSN (Master of Science in Nursing);MEM (Master of Environmental Management);MPP (Masters of Public Policy);MSW (Master of Social Work);MHA (Master of Healthcare Administration);MPA (Master of Public Administration);MPH (Master of Public Health);MM (Master in Management);MEng (Master of Engineering);DVM (Doctor of Veterinary Medicine),New York City/Tri-State area;Southern California;Charlotte NC,Consulting and professional services;Journalism,Academic success and study skills;Emotional support,Reading,3,7,8,1,9,1,7,2,0
246,Tempor. In,246,testemail@qemailserver.com,Trinity,Senior,Female,Asian or Pacific islander;Black or African-American;Hispanic or Latinx;Middle Eastern;Native American or American Indian;Other;Prefer not to answer,None,Gender Sexuality and Feminist Studies;Psychology;Romance Studies,Creative Writing,Human Rights;Information Science and Information Studies,None / Not listed;MD (Doctor of Medicine);MBA (Masters of Business Administration);PhD (Doctor of Philosophy);MFA (Master of Fine Arts);MA (Master of Arts);MS (Master of Science);Psy.D (Doctor of Psychology);MeD (Master of Education);MEM (Master of Engineering Management);MSN (Master of Science in Nursing);MEM (Master of Environmental Management);MPP (Masters of Public Policy);MSW (Master of Social Work);MHA (Master of Healthcare Administration);MPA (Master of Public Administration);MM (Master in Management);MEng (Master of Engineering);DVM (Doctor of Veterinary Medicine),Chicago IL,Product / Product Management / UX Design,Networking and professional connections,Fashion;Reading,2,6,8,9,0,1,4,6,0
247,Per non te,247,testemail@qemailserver.com,Pratt,Junior,Male,Asian or Pacific islander;Black or African-American;Middle Eastern;Native American or American Indian;Prefer not to answer,None,Dance;Music,Machine Learning and Artificial Intelligence,Aerospace Engineering;Ethics and Society;Science and the Public,MA (Master of Arts),I don't know/Skip this question;Chicago IL;Richmond VA,Fashion and Apparel;Research and Development;Physical Therapy,Work-life balance and time management,Gaming;Gardening;Athletics/Playing Sports,8,2,3,7,6,3,5,2,0
248,Augue ultr,248,testemail@qemailserver.com,Trinity,Junior,Female,Asian or Pacific islander;Middle Eastern;White;Prefer not to answer,None,Visual Arts,None;Earth and Climate Sciences;Sexuality Studies,Markets and Management,PhD (Doctor of Philosophy);Psy.D (Doctor of Psychology);MeD (Master of Education);MHA (Master of Healthcare Administration);MPA (Master of Public Administration);MPH (Master of Public Health),Atlanta GA,Media Entertainment and Sports;Transportation and logistics,Academic success and study skills;Work-life balance and time management,Pets;Traveling,7,7,0,2,2,7,6,8,0
249,Sed nunc s,249,testemail@qemailserver.com,Pratt,Sophomore,Male,Middle Eastern;Native American or American Indian;Other;Prefer not to answer,None,Chemistry,Education;Polish Culture and Language,Islamic Studies;Robotics and Automation,None / Not listed;MD (Doctor of Medicine);MBA (Masters of Business Administration);JD (Juris Doctorate/Law);PhD (Doctor of Philosophy);MFA (Master of Fine Arts);MA (Master of Arts);MS (Master of Science);Psy.D (Doctor of Psychology);MeD (Master of Education);MEM (Master of Engineering Management);MEM (Master of Environmental Management);MPP (Masters of Public Policy);MSW (Master of Social Work);MHA (Master of Healthcare Administration);MPA (Master of Public Administration);MEng (Master of Engineering),Northern California;Charlotte NC,Military,Work-life balance and time management,Fitness;Gardening;Movies/TV,9,1,4,4,3,9,6,0,0
250,Ut fusce e,250,testemail@qemailserver.com,Pratt,Junior,Female,Asian or Pacific islander;Black or African-American;Hispanic or Latinx;Middle Eastern;Native American or American Indian;White;Other;Prefer not to answer,None,Religious Studies,Asian American and Diaspora Studies;Global Health;Medical Sociology,Human Rights;Latinx Studies in the Global South,MBA (Masters of Business Administration);JD (Juris Doctorate/Law);MeD (Master of Education);MSN (Master of Science in Nursing);MPP (Masters of Public Policy);MHA (Master of Healthcare Administration);MM (Master in Management);DVM (Doctor of Veterinary Medicine),New York City/Tri-State area;Washington DC,Transportation and logistics;Product / Product Management / UX Design;Private Equity,Personal growth and self-improvement,Fitness;Gaming,6,4,8,7,3,0,10,0,0
251,Euismod pu,251,testemail@qemailserver.com,Pratt,Senior,Male,Hispanic or Latinx;Middle Eastern;Native American or American Indian;White;Prefer not to answer,None,African and African American Studies;Biomedical Engineering;Civil Engineering,Creative Writing;English;Latin,Architectural Engineering;Human Rights,None / Not listed;MD (Doctor of Medicine);MBA (Masters of Business Administration);JD (Juris Doctorate/Law);PhD (Doctor of Philosophy);MFA (Master of Fine Arts);MA (Master of Arts);MS (Master of Science);MeD (Master of Education);MSN (Master of Science in Nursing);MEM (Master of Environmental Management);MPP (Masters of Public Policy);MSW (Master of Social Work);MHA (Master of Healthcare Administration);MPA (Master of Public Administration);MM (Master in Management);DVM (Doctor of Veterinary Medicine),Pacific Northwest/Seattle;Denver CO,Religion,Career exploration and decision-making;Networking and professional connections;Academic success and study skills,Reading;Performing Arts,2,0,2,4,3,9,3,6,0
252,Ullamcorpe,252,testemail@qemailserver.com,Trinity,Sophomore,Female,Asian or Pacific islander;Black or African-American;Middle Eastern;Native American or American Indian;White,None,Art History;Biomedical Engineering;Russian,Italian Studies,Aerospace Engineering;Philosophy Politics and Economics;Sustainability Engagement,JD (Juris Doctorate/Law);MeD (Master of Education);MEM (Master of Environmental Management);MPP (Masters of Public Policy);MPH (Master of Public Health),Nashville TN;Baltimore MD;UK,Physical Therapy,Personal growth and self-improvement,Fitness,4,8,1,9,3,1,7,3,0
253,Dapibus fr,253,testemail@qemailserver.com,Pratt,Sophomore,Male,Prefer not to answer,None,Ancient Religion and Society,African and African American Studies;Electrical and Computer Engineering;Latin,Philosophy Politics and Economics,MBA (Masters of Business Administration);JD (Juris Doctorate/Law),Pacific Northwest/Seattle;Baltimore MD,Real estate;International Relations,Networking and professional connections;Academic success and study skills,Movies/TV,6,3,5,4,1,8,1,5,0
254,Est. Accus,254,testemail@qemailserver.com,Pratt,Junior,Female,Asian or Pacific islander;Black or African-American;Hispanic or Latinx;Native American or American Indian;Other;Prefer not to answer,None,Biology;Electrical and Computer Engineering,Cinematic Arts;German;Machine Learning and Artificial Intelligence,Child Policy Research;Digital Intelligence;Ethics and Society,MD (Doctor of Medicine);MA (Master of Arts);Psy.D (Doctor of Psychology);MPP (Masters of Public Policy);MSW (Master of Social Work),Washington DC;Baltimore MD,Energy and Utilities;Veterinary Medicine;Private Equity,Skill development in a specific field;Networking and professional connections;Emotional support,Fitness;Traveling;Time with Friends,4,0,1,7,9,1,7,3,0
255,Convallis;,255,testemail@qemailserver.com,Trinity,Junior,Male,Hispanic or Latinx;Middle Eastern,None,Biology,Music,Architectural Engineering;Health Policy,None / Not listed;MD (Doctor of Medicine);MBA (Masters of Business Administration);JD (Juris Doctorate/Law);PhD (Doctor of Philosophy);MFA (Master of Fine Arts);MA (Master of Arts);MS (Master of Science);Psy.D (Doctor of Psychology);MeD (Master of Education);MEM (Master of Engineering Management);MSN (Master of Science in Nursing);MEM (Master of Environmental Management);MPP (Masters of Public Policy);MSW (Master of Social Work);MHA (Master of Healthcare Administration);MPA (Master of Public Administration);MPH (Master of Public Health);MM (Master in Management);MEng (Master of Engineering);DVM (Doctor of Veterinary Medicine),Atlanta GA;China,Manufacturing and engineering;Research and Development;Academia / Higher Ed,Personal growth and self-improvement;Emotional support,Fitness,3,5,4,7,0,8,6,5,0
256,Integer ru,256,testemail@qemailserver.com,Pratt,Junior,Female,Asian or Pacific islander;Black or African-American;Middle Eastern;Native American or American Indian;White;Other;Prefer not to answer,None,Art History and Visual Arts;Electrical and Computer Engineering,Earth and Climate Sciences,Child Policy Research;Digital Intelligence;Innovation and Entrepreneurship,None / Not listed;MD (Doctor of Medicine);JD (Juris Doctorate/Law);PhD (Doctor of Philosophy);MFA (Master of Fine Arts);MA (Master of Arts);MEM (Master of Engineering Management);MEM (Master of Environmental Management);MPP (Masters of Public Policy);MSW (Master of Social Work);MHA (Master of Healthcare Administration);MPH (Master of Public Health);MM (Master in Management);MEng (Master of Engineering);DVM (Doctor of Veterinary Medicine),Southern California,Physical Therapy,Career exploration and decision-making;Emotional support,Fashion;Outdoor Activities/Hiking/Camping;Visual Arts/Crafts,3,9,1,5,7,9,0,2,0
257,Viverra le,257,testemail@qemailserver.com,Pratt,Senior,Male,Other;Prefer not to answer,None,French Studies;German,Finance;Physics;Russian and East European Literatures in Translation,Latinx Studies in the Global South;Materials Science and Engineering,DVM (Doctor of Veterinary Medicine),Chicago IL,Media Entertainment and Sports;Research and Development;Academia / Higher Ed,Academic success and study skills,Fashion;Fitness;Performing Arts,3,5,3,2,7,7,6,3,0
258,Facilisis ,258,testemail@qemailserver.com,Pratt,Senior,Female,Asian or Pacific islander;Black or African-American;Native American or American Indian;White,None,Computational Media;Computer Science;Music,Greek,Child Policy Research;Digital Intelligence;Energy and the Environment,None / Not listed;MD (Doctor of Medicine);MBA (Masters of Business Administration);JD (Juris Doctorate/Law);PhD (Doctor of Philosophy);MFA (Master of Fine Arts);MA (Master of Arts);MS (Master of Science);Psy.D (Doctor of Psychology);MeD (Master of Education);MEM (Master of Engineering Management);MSN (Master of Science in Nursing);MEM (Master of Environmental Management);MSW (Master of Social Work);MHA (Master of Healthcare Administration);MPA (Master of Public Administration);MPH (Master of Public Health);MM (Master in Management);MEng (Master of Engineering);DVM (Doctor of Veterinary Medicine),New York City/Tri-State area,Hospitality and Tourism;Fashion and Apparel;Venture Capital,Networking and professional connections;Academic success and study skills;Emotional support,Fashion;Pets;Time with Friends,9,6,4,2,6,9,8,5,0
259,Sapien lig,259,testemail@qemailserver.com,Trinity,Senior,Male,Asian or Pacific islander;Black or African-American;Hispanic or Latinx,None,Biology;Chemistry,Computer Science;Medieval and Renaissance Studies;Theater Studies,Health Policy;Robotics and Automation;Science and the Public,JD (Juris Doctorate/Law);PhD (Doctor of Philosophy);MS (Master of Science);Psy.D (Doctor of Psychology);MeD (Master of Education);MEM (Master of Engineering Management);MSW (Master of Social Work);MHA (Master of Healthcare Administration);MM (Master in Management);MEng (Master of Engineering);DVM (Doctor of Veterinary Medicine),Southern California;Nashville TN,Arts / Creative Industries,Skill development in a specific field;Networking and professional connections;Personal growth and self-improvement,Athletics/Playing Sports,5,3,2,2,3,2,3,0,0
260,Accusamus ,260,testemail@qemailserver.com,Trinity,Senior,Female,Asian or Pacific islander;Black or African-American;Hispanic or Latinx;Middle Eastern;Native American or American Indian;White;Other;Prefer not to answer,None,Asian and Middle Eastern Studies;Russian,Environmental Sciences and Policy;Finance;Physics,Jewish Studies;Sustainability Engagement,MD (Doctor of Medicine);MBA (Masters of Business Administration);JD (Juris Doctorate/Law);PhD (Doctor of Philosophy);MFA (Master of Fine Arts);MS (Master of Science);Psy.D (Doctor of Psychology);MeD (Master of Education);MEM (Master of Engineering Management);MSN (Master of Science in Nursing);MEM (Master of Environmental Management);MPP (Masters of Public Policy);MSW (Master of Social Work);MHA (Master of Healthcare Administration);MPA (Master of Public Administration);MPH (Master of Public Health);MM (Master in Management);MEng (Master of Engineering);DVM (Doctor of Veterinary Medicine),I don't know/Skip this question;Raleigh/Durham/Chapel Hill,Artificial Intelligence / Machine Learning / Data Science;Agricultural and Food Science,Skill development in a specific field;Personal growth and self-improvement;Work-life balance and time management,Visual Arts/Crafts;Performing Arts;Fishing/Hunting,6,4,5,2,7,10,7,9,0
261,Proin just,261,testemail@qemailserver.com,Trinity,Senior,Male,Asian or Pacific islander;Black or African-American;Hispanic or Latinx;Middle Eastern;Native American or American Indian;White;Prefer not to answer,None,Ancient Religion and Society;Biophysics,Energy Engineering;Spanish Studies,Ethics and Society;Innovation and Entrepreneurship,MD (Doctor of Medicine);MBA (Masters of Business Administration);JD (Juris Doctorate/Law);PhD (Doctor of Philosophy);MFA (Master of Fine Arts);MA (Master of Arts);MS (Master of Science);MeD (Master of Education);MEM (Master of Engineering Management);MEM (Master of Environmental Management);MHA (Master of Healthcare Administration);MPA (Master of Public Administration);MM (Master in Management);MEng (Master of Engineering);DVM (Doctor of Veterinary Medicine),Atlanta GA;UK,Medical;Journalism,Skill development in a specific field;Personal growth and self-improvement,Athletics/Playing Sports,3,1,2,2,3,10,4,8,0
262,Posuere te,262,testemail@qemailserver.com,Pratt,Sophomore,Female,Middle Eastern;Other,None,Environmental Sciences and Policy,Asian and Middle Eastern Studies,Decision Sciences;East Asian Studies;Energy and the Environment,None / Not listed;MBA (Masters of Business Administration);JD (Juris Doctorate/Law);MA (Master of Arts);MEM (Master of Engineering Management);MSN (Master of Science in Nursing);MPP (Masters of Public Policy);MHA (Master of Healthcare Administration);MPA (Master of Public Administration);MPH (Master of Public Health);MEng (Master of Engineering),India,Fashion and Apparel,Career exploration and decision-making,Family Time;Outdoor Activities/Hiking/Camping;Performing Arts,7,4,7,4,2,8,8,9,0
263,Per atque ,263,testemail@qemailserver.com,Pratt,Junior,Male,Asian or Pacific islander;Black or African-American;Hispanic or Latinx;Native American or American Indian;Other;Prefer not to answer,None,Gender Sexuality and Feminist Studies,Dance;Physics,Documentary Studies,MD (Doctor of Medicine);MBA (Masters of Business Administration);JD (Juris Doctorate/Law);PhD (Doctor of Philosophy);MS (Master of Science);MSN (Master of Science in Nursing);MEM (Master of Environmental Management);MPP (Masters of Public Policy);MPH (Master of Public Health);DVM (Doctor of Veterinary Medicine),Nashville TN;Denver CO,Artificial Intelligence / Machine Learning / Data Science,Career exploration and decision-making;Emotional support,Volunteering,9,4,6,7,8,3,1,0,0
264,Quam wisi!,264,testemail@qemailserver.com,Pratt,Senior,Female,Asian or Pacific islander;Black or African-American;Hispanic or Latinx;Middle Eastern;Native American or American Indian;White;Other;Prefer not to answer,None,Economics;Theater Studies,Linguistics;Political Science,Policy Journalism and Media Studies,None / Not listed;MD (Doctor of Medicine);JD (Juris Doctorate/Law);MFA (Master of Fine Arts);MA (Master of Arts);MeD (Master of Education);MEM (Master of Engineering Management);MSN (Master of Science in Nursing);MEM (Master of Environmental Management);MPP (Masters of Public Policy);MSW (Master of Social Work);MPA (Master of Public Administration);MPH (Master of Public Health);MEng (Master of Engineering);DVM (Doctor of Veterinary Medicine),Houston/Dallas/Austin;Denver CO,Nursing;Academia / Higher Ed,Personal growth and self-improvement;Work-life balance and time management,Family Time,8,9,5,9,7,2,1,2,0
265,Quis. Nato,265,testemail@qemailserver.com,Pratt,Sophomore,Male,Asian or Pacific islander;Hispanic or Latinx;Middle Eastern,None,Biology;Philosophy;Statistical Science,French Studies;Medical Sociology;Polish Culture and Language,Energy and the Environment;Materials Science and Engineering,MBA (Masters of Business Administration);JD (Juris Doctorate/Law);MFA (Master of Fine Arts);MS (Master of Science);Psy.D (Doctor of Psychology);MeD (Master of Education);MEM (Master of Engineering Management);MSN (Master of Science in Nursing);MEM (Master of Environmental Management);MPP (Masters of Public Policy);MHA (Master of Healthcare Administration);MPA (Master of Public Administration);MPH (Master of Public Health);DVM (Doctor of Veterinary Medicine),I don't know/Skip this question,Non-Profit and Social Services;Dentistry,Networking and professional connections;Personal growth and self-improvement;Emotional support,Fashion,4,8,7,4,5,2,4,4,0
266,Mauris? Et,266,testemail@qemailserver.com,Trinity,Sophomore,Female,Asian or Pacific islander;Black or African-American;Hispanic or Latinx;Middle Eastern;White;Other,None,Statistical Science,Medical Sociology;Statistical Science,Sustainability Engagement,None / Not listed;PhD (Doctor of Philosophy);MFA (Master of Fine Arts);MA (Master of Arts);MS (Master of Science);Psy.D (Doctor of Psychology);MEM (Master of Engineering Management);MHA (Master of Healthcare Administration);MPA (Master of Public Administration),Pacific Northwest/Seattle,Non-Profit and Social Services;Religion,Networking and professional connections,Cooking/Baking;Reading;Time with Friends,8,6,4,5,8,3,3,8,0
267,Tincidunt ,267,testemail@qemailserver.com,Trinity,Sophomore,Male,Hispanic or Latinx,None,Neuroscience,African and African American Studies;Biology;Computational Biology and Bioinformatics,Human Rights;Policy Journalism and Media Studies,MD (Doctor of Medicine);MBA (Masters of Business Administration);JD (Juris Doctorate/Law);PhD (Doctor of Philosophy);MFA (Master of Fine Arts);MS (Master of Science);MEM (Master of Engineering Management);MSN (Master of Science in Nursing);MHA (Master of Healthcare Administration);MPA (Master of Public Administration),I don't know/Skip this question;Chicago IL,Law / Legal Services;Fashion and Apparel,Skill development in a specific field;Emotional support,Gardening;Music/Dance,9,2,3,10,5,5,8,8,0
268,Accusamus ,268,testemail@qemailserver.com,Pratt,Sophomore,Female,Black or African-American;Hispanic or Latinx;Middle Eastern,None,Mathematics,Spanish Studies,Markets and Management,MBA (Masters of Business Administration);PhD (Doctor of Philosophy);MFA (Master of Fine Arts);MS (Master of Science);Psy.D (Doctor of Psychology);MEM (Master of Engineering Management);MSN (Master of Science in Nursing);MEM (Master of Environmental Management);MPP (Masters of Public Policy);MSW (Master of Social Work);MHA (Master of Healthcare Administration);MPA (Master of Public Administration);MM (Master in Management);MEng (Master of Engineering);DVM (Doctor of Veterinary Medicine),Chicago IL;China,Transportation and logistics,Skill development in a specific field;Personal growth and self-improvement,Family Time;Gardening;Music/Dance,1,0,2,10,5,1,3,5,0
269,Lectus? A ,269,testemail@qemailserver.com,Pratt,Sophomore,Male,Asian or Pacific islander;Middle Eastern;Prefer not to answer,None,Chemistry;Classical Civilization;Mechanical Engineering,Chemistry;Photography;Polish Culture and Language,Global Development Engineering;Jewish Studies;Materials Science and Engineering,None / Not listed;MBA (Masters of Business Administration);MFA (Master of Fine Arts);MA (Master of Arts);MS (Master of Science);Psy.D (Doctor of Psychology);MSN (Master of Science in Nursing);MPP (Masters of Public Policy);MSW (Master of Social Work);MHA (Master of Healthcare Administration);MPA (Master of Public Administration);MM (Master in Management);MEng (Master of Engineering),Atlanta GA;Philadelphia and mid/southern NJ,Biotechnology,Skill development in a specific field,Athletics/Playing Sports;Music/Dance;Watching Sports,1,0,9,1,4,6,2,9,0
270,Eget solli,270,testemail@qemailserver.com,Pratt,Senior,Female,Black or African-American,None,International Comparative Studies,Marine Science and Conservation,Energy and the Environment;Latin American Studies;Markets and Management,None / Not listed;MD (Doctor of Medicine);MBA (Masters of Business Administration);JD (Juris Doctorate/Law);MFA (Master of Fine Arts);MA (Master of Arts);Psy.D (Doctor of Psychology);MeD (Master of Education);MEM (Master of Engineering Management);MSN (Master of Science in Nursing);MEM (Master of Environmental Management);MPP (Masters of Public Policy);MSW (Master of Social Work);MHA (Master of Healthcare Administration);MPA (Master of Public Administration);MPH (Master of Public Health);MM (Master in Management);MEng (Master of Engineering);DVM (Doctor of Veterinary Medicine),I don't know/Skip this question;Chicago IL;Nashville TN,Physical Therapy,Personal growth and self-improvement;Emotional support,Gaming;Reading;Performing Arts,7,1,6,9,9,8,9,9,0
